participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Sauer Center,2,76.21088344,74.21088344,same
UT_141,9/19/2017 13:03,0,Golledge Hall,Snow Church,Snow Church,14,1.204134401,12.7958656,same
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Batty House,74,90.64700942,16.64700942,different
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Sauer Center,74,0.279262352,73.72073765,same
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Golledge Hall,140,125.8431145,14.15688545,same
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Harvey House,27,119.6929579,92.69295786,different
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Tobler Museum,34,63.69277617,29.69277617,same
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Harris Hall,118,88.09346154,29.90653846,different
UT_141,9/19/2017 13:03,0,Snow Church,Sauer Center,Lynch Station,167,79.44851915,87.55148085,different
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Harris Hall,19,4.240040564,14.75995944,different
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Batty House,24,6.744508622,17.25549138,different
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Tobler Museum,12,2.713388186,9.286611814,same
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Lynch Station,85,17.76205492,67.23794508,different
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Harvey House,19,23.09134403,4.091344033,different
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Snow Church,87,89.63525726,2.635257259,same
UT_141,9/19/2017 13:03,0,Sauer Center,Tobler Museum,Golledge Hall,54,51.85616181,2.143838187,same
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Batty House,142,171.0086651,29.00866514,different
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Snow Church,36,38.78279809,2.782798086,same
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Harris Hall,11,173.2852643,162.2852643,different
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Lynch Station,5,156.2355625,151.2355625,different
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Harvey House,123,147.248191,24.248191,different
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Sauer Center,11,20.69981416,9.699814155,same
UT_141,9/19/2017 13:03,0,Tobler Museum,Sauer Center,Golledge Hall,74,67.30353066,6.69646934,same
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Sauer Center,35,30.3316951,4.668304903,different
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Tobler Museum,35,37.30802198,2.308021981,different
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Lynch Station,39,47.32798389,8.327983892,same
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Snow Church,2,48.19947553,46.19947553,different
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Harvey House,67,93.19423766,26.19423766,same
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Harris Hall,32,37.5286373,5.528637304,same
UT_143,9/19/2017 14:37,0,Batty House,Lynch Station,Golledge Hall,60,51.76768154,8.232318462,different
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Harris Hall,8,7.021704671,0.978295329,same
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Snow Church,69,8.968174613,60.03182539,different
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Tobler Museum,97,17.95076442,79.04923558,different
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Sauer Center,84,29.20903342,54.79096658,different
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Batty House,138,130.6542463,7.345753667,same
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Harvey House,40,48.19593801,8.195938014,same
UT_143,9/19/2017 14:37,0,Lynch Station,Harris Hall,Golledge Hall,40,3.323863738,36.67613626,different
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Harvey House,165,2.146796904,162.8532031,same
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Snow Church,14,84.7281122,70.7281122,different
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Lynch Station,125,114.5627943,10.43720572,same
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Tobler Museum,125,99.95984558,25.04015442,different
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Golledge Hall,92,77.71082192,14.28917808,different
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Batty House,92,83.35216568,8.647834315,same
UT_143,9/19/2017 14:37,0,Harris Hall,Harvey House,Sauer Center,9,110.6574336,101.6574336,different
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Batty House,94,46.54689912,47.45310088,same
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Harris Hall,11,4.196894849,6.803105151,same
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Snow Church,5,66.19140238,61.19140238,different
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Golledge Hall,99,64.9530254,34.0469746,different
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Tobler Museum,7,42.14615863,35.14615863,different
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Lynch Station,100,32.28246429,67.71753571,same
UT_143,9/19/2017 14:37,0,Harvey House,Harris Hall,Sauer Center,28,46.29205396,18.29205396,different
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Lynch Station,67,173.9683139,106.9683139,different
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Harvey House,50,139.9309368,89.93093678,different
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Snow Church,7,1.204134401,5.795865599,same
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Tobler Museum,124,147.0284471,23.02844706,same
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Sauer Center,76,76.21088344,0.210883445,same
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Harris Hall,34,176.2022806,142.2022806,different
UT_143,9/19/2017 14:37,0,Golledge Hall,Snow Church,Batty House,34,173.5694617,139.5694617,different
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Lynch Station,28,79.44851915,51.44851915,different
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Golledge Hall,28,125.8431145,97.84311455,same
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Batty House,110,90.64700942,19.35299058,different
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Harvey House,110,119.6929579,9.69295786,different
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Tobler Museum,44,63.69277617,19.69277617,same
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Sauer Center,44,0.279262352,43.72073765,same
UT_143,9/19/2017 14:37,0,Snow Church,Sauer Center,Harris Hall,33,88.09346154,55.09346154,different
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Batty House,29,6.744508622,22.25549138,different
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Harvey House,86,23.09134403,62.90865597,different
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Golledge Hall,86,51.85616181,34.14383819,same
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Tobler Museum,14,2.713388186,11.28661181,same
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Harris Hall,49,4.240040564,44.75995944,different
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Lynch Station,83,17.76205492,65.23794508,different
UT_143,9/19/2017 14:37,0,Sauer Center,Tobler Museum,Snow Church,85,89.63525726,4.635257259,same
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Batty House,53,171.0086651,118.0086651,different
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Harvey House,53,147.248191,94.248191,different
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Sauer Center,39,20.69981416,18.30018584,same
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Lynch Station,16,156.2355625,140.2355625,different
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Snow Church,43,38.78279809,4.217201914,same
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Golledge Hall,79,67.30353066,11.69646934,same
UT_143,9/19/2017 14:37,0,Tobler Museum,Sauer Center,Harris Hall,7,173.2852643,166.2852643,different
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Golledge Hall,21,51.76768154,30.76768154,different
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Lynch Station,29,47.32798389,18.32798389,same
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Sauer Center,6,30.3316951,24.3316951,different
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Harris Hall,6,37.5286373,31.5286373,same
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Harvey House,89,93.19423766,4.194237658,same
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Tobler Museum,10,37.30802198,27.30802198,different
UT_168,10/10/2017 8:00,0,Batty House,Lynch Station,Snow Church,12,48.19947553,36.19947553,different
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Tobler Museum,50,17.95076442,32.04923558,different
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Batty House,128,130.6542463,2.654246333,same
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Sauer Center,128,29.20903342,98.79096658,different
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Harris Hall,48,7.021704671,40.97829533,same
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Golledge Hall,13,3.323863738,9.676136262,different
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Snow Church,41,8.968174613,32.03182539,different
UT_168,10/10/2017 8:00,0,Lynch Station,Harris Hall,Harvey House,68,48.19593801,19.80406199,same
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Snow Church,82,84.7281122,2.728112203,different
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Golledge Hall,82,77.71082192,4.289178075,different
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Sauer Center,99,110.6574336,11.65743363,different
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Tobler Museum,4,99.95984558,95.95984558,different
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Harvey House,163,2.146796904,160.8532031,same
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Batty House,103,83.35216568,19.64783432,same
UT_168,10/10/2017 8:00,0,Harris Hall,Harvey House,Lynch Station,164,114.5627943,49.43720572,same
UT_168,10/10/2017 8:00,0,Harvey House,Harris Hall,Batty House,148,46.54689912,101.4531009,same
UT_168,10/10/2017 8:00,0,Harvey House,Harris Hall,Snow Church,148,66.19140238,81.80859762,different
UT_168,10/10/2017 8:00,0,Harvey House,Harris Hall,Tobler Museum,19,42.14615863,23.14615863,different
UT_168,10/10/2017 8:00,0,Harvey House,Harris Hall,Sauer Center,69,46.29205396,22.70794604,different
UT_168,10/10/2017 8:00,0,Harvey House,Harris Hall,Harris Hall,97,4.196894849,92.80310515,same
UT_168,10/10/2017 8:00,0,Harvey House,Harris Hall,Golledge Hall,98,64.9530254,33.0469746,different
