Participant_ID,Seen_Within,Unseen_All,Unseen_Within,Unseen_Between,Between_Pointing,Within_Pointing,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,SBSOD,Gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,Buildings_Percent,MRT,Ints_Others_Clusters,Non_Int_Imps_Only_Clusters,Study_Combined_Correct,Two_Step_Within_0,Two_Step_Within_1,Two_Step_Within_2,Two_Step_Within_3,Two_Step_Across_All,Two_Step_Within_All,Cluster_Matches,K_Means_Within_0,K_Means_Within_1,K_Means_Within_2,K_Means_Within_3,K_Means_Across_All,K_Means_Within_All,SAQ,Model_Building_Average_Within,Total_Time_in_Environment,Seen_Unseen,UnseenB_UnseenW,Pointing_mean
1148,24.7425833,49.64220759,30.37780405,55.6623337,55.6623337,27.09059194,1,,2,,White,4.933333333,Male,43,0.229608893,0.264035161,0.419261006,0.25,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.25,0.341648084,,2,1,43.41730152
1149,5.312031847,47.70595383,33.31893388,52.20189756,52.20189756,16.98157436,1,,,,Wh/Hisp,3.933333333,Female,,0.268546402,0.538508426,0.393022466,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.625,0.465765446,,2,1,37.10747333
1150,33.48383713,50.03626596,37.76818331,53.87004179,53.87004179,35.26898137,1,,7,,White,4.466666667,Female,42,0.109633101,0.038434327,0.415181244,0.875,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.75,0.226807786,,1,1,45.89815875
1151,14.10946344,35.27075284,13.96198923,41.92974147,41.92974147,14.04801585,1,,4,,Asian,3.533333333,Female,51,0.373322079,0.734084351,0.442854344,0.5,,2,,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.5,0.588469348,,3,3,29.98043049
2001,13.12579061,34.6080978,23.18363956,38.178241,38.178241,17.31656101,2,,8,1,White,5,Female,51,0.663347028,0.709568889,0.956622465,1,,2,,1,,,Integrator,,Non-Integrator,Integrator,1,,,Integrator,,Integrator,Integrator,3.375,0.833095677,,3,3,29.237521
2002,21.54753363,58.36920794,22.45017942,69.59390435,69.59390435,21.92363604,2,,7,,Black,4.066666667,Female,41,0.56324389,0.035124491,0.72863753,0.875,,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,4.875,0.381881011,,2,1,49.16378936
2003,27.48090986,52.59749817,47.4951093,54.19199469,54.19199469,35.82015963,2,,5,,White,4.466666667,Male,39,0.098029714,0.723537907,0.493367665,0.625,,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,5.5,0.608452786,,1,2,46.31835109
2004,30.4436145,43.59521673,35.00083676,46.28096046,46.28096046,32.34245711,2,,6,,White,4.533333333,Female,41,0.298838639,0.44688504,0.452121511,0.75,8,1,1,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,4.125,0.449503276,,1,1,40.30731617
2005,26.89392333,38.70736301,29.26818331,41.65710667,41.65710667,27.88319832,2,,7,1,White,4.533333333,Female,39,0.531357841,0.62166015,0.958527503,0.875,30,1,1,1,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,1,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,2.625,0.790093826,,2,1,35.75400309
2007,14.49541659,20.03896902,9.964962951,23.18709592,23.18709592,12.60772758,2,,8,,White,5.266666667,Male,53,0.837042291,0.517805015,0.43527121,1,50,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.25,0.476538113,,3,3,18.65308092
2009,12.82545655,45.55055056,39.74733374,47.36405582,47.36405582,24.04290538,2,,3,,Black,4.866666667,Female,43,0.472341881,0.942055277,0.857856268,0.375,42,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,2.5,0.899955773,,2,1,37.36927706
2010,8.833667242,30.94905201,24.47401882,32.97249988,32.97249988,15.3504804,2,,8,,Black,6.2,Female,48,0.873039991,0.963023272,0.922825972,1,34,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.375,0.942924622,,3,3,25.42020582
2011,27.72571051,53.19870066,29.62930959,60.56413537,60.56413537,28.51887679,2,,8,,Black,3.4,Female,44,0.123350502,0.548085986,0.562056299,1,,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,3.625,0.555071143,,1,1,46.83045312
2012,10.72934798,30.38440726,21.8692986,33.04537871,33.04537871,15.37099407,2,,5,,Black,4.066666667,Male,47,0.489499224,0.924412326,0.851212904,0.625,28,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,3.5,0.887812615,,3,3,25.47064244
2013,29.3321938,46.61812642,52.1271467,44.89655758,44.89655758,38.83009084,2,,6,,Black,3.733333333,Female,43,0.090486547,0.448927291,0.140182458,0.75,14,1,1,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,2.625,0.294554875,,1,2,42.29664326
2014,10.06758148,37.35746284,30.81893388,39.40075315,39.40075315,18.71397832,2,,7,,White,3.666666667,Female,45,0.407055345,0.78680725,0.712180379,0.875,76,2,,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Integrator,,Integrator,Integrator,5.75,0.749493815,,2,3,30.53499251
2015,3.273036191,36.08175171,12.66581142,43.39923305,43.39923305,7.186692538,2,,6,1,White,6,Female,52,0.858454187,0.664910925,0.517449559,0.75,30,2,,1,,,Integrator,,Non-Integrator,Integrator,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,2.75,0.591180242,,3,3,27.87957283
2016,5.723229699,44.38658658,18.27897105,52.54521643,52.54521643,10.9547886,2,,8,,White,4.2,Male,50,0.019181143,0.846566623,0.26987389,1,42,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,5.5,0.558220257,,2,1,34.72074736
2017,3.072309002,37.92580549,15.27401882,45.00448883,45.00448883,8.156354759,2,,8,,White,5,Male,52,0.545173167,0.948954784,0.919235935,1,,2,,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.25,0.93409536,,3,3,29.21243137
2018,29.06650023,53.90112698,31.32349434,60.95663718,60.95663718,30.00691444,2,,6,,Asian,5.2,Female,40,0.164272358,0.807930573,0.165779921,0.75,6,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,5.375,0.486855247,,1,1,47.69247029
2019,38.49638074,57.50326388,40.04661484,62.9584667,62.9584667,39.14231162,2,,6,,Black,4.2,Female,41,0.623335464,0.360582628,0.800140196,0.75,40,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,3,0.580361412,,1,1,52.75154309
2021,6.005686442,33.28956114,30.81421367,34.06310722,34.06310722,16.34257279,2,,8,,White,4.6,Male,48,0.147963361,0.640483738,0.082850592,1,4,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.625,0.361667165,,3,3,26.46859246
2022,24.63827374,46.46278282,47.53503705,46.12770337,46.12770337,34.17859178,2,,7,,White,2.466666667,Male,53,0.486415575,0.541963856,0.861127933,0.875,46,1,1,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,2.25,0.701545894,,2,2,41.00665555
2023,6.186387462,57.32169051,29.61893388,65.97880196,65.97880196,15.94994847,2,,8,,White,3.666666667,Female,49,0.312930195,0.778125231,0.803970196,1,72,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.5,0.791047714,,2,1,44.53786475
2024,29.81398074,56.97908436,47.75701081,59.86098235,59.86098235,37.29024327,2,,8,,White,4.2,Female,42,0.482615262,0.484160291,0.739762879,1,18,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,5.25,0.611961585,,1,2,50.18780846
2025,7.020466677,11.16249317,8.253250122,12.07163162,12.07163162,7.534126446,2,,6,,White/Hi,5.4,Male,46,0.788171606,0.419402225,0.559417979,0.75,34,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.875,0.489410102,,3,3,10.12698655
2026,7.490519381,26.10178014,23.11893388,27.0339196,27.0339196,14.00235876,2,,8,,White Hi,5.333333333,Male,50,0.915765939,0.754716933,0.690280501,1,6,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.25,0.722498717,,3,3,21.44896495
2027,32.07770582,56.22699997,28.01893388,65.04202062,65.04202062,30.38655084,2,,6,,White,2.4,Female,51,0.221717159,0.941832611,0.877814428,0.75,30,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,4.75,0.90982352,,1,1,50.18967643
2028,10.75850926,39.25320986,29.80624541,42.20538625,42.20538625,18.69506599,2,,7,,White,3.8,Male,46,0.579814056,0.811669531,0.961661223,0.875,28,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.5,0.886665377,,2,1,32.12953471
2029,15.80317229,41.7748058,31.32467616,45.04047131,45.04047131,22.27046557,2,,7,,Asian,4,Female,45,0.535614777,0.798759998,0.453316008,0.875,8,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,2.625,0.626038003,,2,1,35.28189742
2030,5.071992013,26.91359252,23.01893388,28.13067335,28.13067335,12.54988446,2,,6,,White,3.866666667,Male,52,0.838166688,0.391465766,0.995783964,0.75,38,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,4.375,0.693624865,,3,3,21.4531924
2031,18.95118304,31.19476716,26.61893388,32.62471506,32.62471506,22.14607922,2,,6,,Black,4.666666667,Female,44,0.668704497,0.930403062,0.217813976,0.75,36,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,4.875,0.574108519,,3,3,28.13387113
2032,10.13385567,32.98138852,32.74445196,33.0554312,33.0554312,19.55493745,2,,8,,White,4.333333333,Male,51,0.105552861,0.83290741,0.842554828,1,66,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,3,0.837731119,,3,3,27.26950531
2033,47.38602757,48.45968962,37.99152991,51.73098953,51.73098953,43.47165355,2,,3,,White,2.866666667,Male,51,0.227041368,0.474579245,0.383460486,0.375,30,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,5.125,0.429019866,,1,1,48.19127411
2034,13.62464577,52.42808193,14.11309837,64.40151429,64.40151429,13.82816769,2,,8,,White,2.933333333,Male,51,0.486514167,0.678695679,0.55826362,1,46,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.875,0.61847965,,2,1,42.72722289
2035,3.13554443,10.37270252,7.892546051,11.14775142,11.14775142,5.117628439,2,,8,,White,5.666666667,Female,49,0.86856736,0.532971806,0.056682408,1,46,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2,0.294827107,,3,3,8.563413
2036,14.80992214,48.14751743,26.09974273,55.03744703,55.03744703,19.51401405,2,,6,,BlackHis,3.8,Male,45,0.030528756,0.654877454,0.595337504,0.75,20,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.875,0.625107479,,2,1,39.81311861
2038,7.061916327,43.08710843,26.91320642,48.14145281,48.14145281,15.3332872,2,,8,,White,4.533333333,Female,55,0.423854886,0.817732267,0.91094602,1,14,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.625,0.864339144,,2,1,34.08081041
2039,15.39606274,28.86288635,23.97974628,30.38886762,30.38886762,18.97259755,2,,8,,WhiteHis,5.4,Female,47,0.672885,0.328637703,0.501946466,1,38,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,1,0.415292085,,3,3,25.49618045
2040,24.24220628,45.88427447,29.33978345,51.05442792,51.05442792,26.36619677,2,,8,1,Asian,3.066666667,Female,48,0.050383915,0.619394704,0.556653322,1,26,1,1,1,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,1,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,4.25,0.588024013,,2,1,40.47375743
2042,1.979931115,25.76160608,16.65017942,28.60892691,28.60892691,8.092534574,2,,8,,White,4.733333333,Male,52,0.775453401,0.684600013,0.787130405,1,18,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2,0.735865209,,3,3,19.81618734
2043,5.005227323,59.44603619,22.91893388,70.86075566,70.86075566,12.46927172,2,,8,,Hispanic,3.8,Female,48,0.43744752,0.59493465,0.76550586,1,42,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,5.125,0.680220255,,2,1,45.83583397
2044,12.46401073,30.90537765,13.24367673,36.42465919,36.42465919,12.78887156,2,,8,,White,5.2,Male,46,0.72035023,0.719364069,0.941545119,1,6,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,3.5,0.830454594,,3,3,26.29503592
2045,17.90564063,39.70454152,24.81320642,44.35808374,44.35808374,20.78379304,2,,6,,White,4.466666667,Female,46,0.363885805,0.657390135,0.604335482,0.75,44,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,4.5,0.630862809,,2,1,34.2548163
2047,34.70989679,52.94698899,48.93040362,54.20217191,54.2,40.64,2,,6,,None,2.6,Male,48,0.518980632,0.782178859,0.629413013,0.75,-2,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,4.375,0.705795936,,1,2,48.38857143
2048,14.31488959,52.52935643,26.27780405,60.73296656,60.73,19.3,2,,8,,WhiteHis,3.266666667,Male,42,0.136965818,0.868615048,0.877611808,1,28,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,5.125,0.873113428,,2,1,42.97428571
2049,12.61900656,40.08167502,23.88215008,45.14402657,45.14,17.31,2,,6,,Asian,3.266666667,Male,54,0.443580557,0.821270136,0.08503281,0.75,72,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,4.75,0.453151473,,2,1,33.21285714
2051,6.577115013,26.43212109,7.16198923,32.4540373,32.45,6.82,2,,8,,White,5.733333333,Male,51,0.803873393,0.311304529,0.820036357,1,64,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,3,0.565670443,,3,3,21.46571429
2052,30.21028944,58.65072129,45.98074216,62.61008977,62.61,36.78,2,,4,,Black,2.733333333,Male,46,0.128326476,0.681675748,0.806109579,0.5,26,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,3.375,0.743892664,,1,2,51.54
2053,6.76251674,35.53072123,40.0138736,34.12973612,34.13,20.62,2,,8,,White,2.6,Female,54,0.617497072,0.895733609,0.732823861,1,52,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,4,0.814278735,,3,3,28.34
2054,3.571627974,53.59313029,19.31893388,64.30381667,64.3,10.13,2,,8,,White,5.4,Male,46,0.306953495,0.042654961,0.708041188,1,24,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,2.625,0.375348075,,2,1,41.08428571
2055,2.376234391,18.63925862,16.93287416,19.17250376,19.17,8.44,2,,8,,Other,5.6,Male,54,0.827670389,0.677103865,0.822904412,1,58,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.75,0.750004139,,3,3,14.57142857
2056,6.806272957,16.87236896,14.12389074,17.73126841,17.73,9.86,2,,8,,Black,5.8,Female,54,0.964063205,0.490372158,0.872171018,1,24,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,3.75,0.681271588,,3,3,14.35714286
2057,48.10873466,52.30635158,47.33506323,53.85987919,53.86,47.79,2,,5,,Black,4.866666667,Male,45,0.201963993,0.830358235,0.923980568,0.625,-4,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,2.625,0.877169402,,1,2,51.25857143
2058,4.520225387,26.62861071,24.41893388,27.31913472,27.32,12.81,2,,8,,White,6.333333333,Male,47,0.963645311,0.960751237,0.966104127,1,32,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.125,0.963427682,,3,3,21.10142857
2059,12.33662904,56.71211763,57.9443439,56.32704692,56.33,31.34,2,,6,,White,5,Female,43,0.571653364,0.823067374,0.1820709,0.75,20,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,2.75,0.502569137,,2,2,45.62
2060,19.54701971,59.54253522,39.25671356,65.88185449,65.88,27.76,2,,8,,White,5.6,Male,49,0.395598387,0.900938262,0.94995305,1,34,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,3.625,0.925445656,,2,1,49.54285714
2061,25.24415794,44.17441028,47.18292531,43.23424934,43.23,34.39,2,,5,,White,5,Female,46,0.628813081,0.485953415,0.637968551,0.625,-34,1,1,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,2.125,0.561960983,,2,2,39.44142857
2062,1.887826286,11.59200405,6.61299894,13.14794315,13.15,3.86,2,,8,,White,5.133333333,Male,51,0.871319934,0.795661275,0.85452397,1,34,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.5,0.825092622,,3,3,9.168571429
2063,6.816780123,30.82945769,10.99155609,37.02880195,37.03,8.56,2,,8,,White,2.866666667,Male,53,0.922075391,0.708692693,0.574112516,1,52,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,2.125,0.641402605,,3,3,24.82857143
2064,13.31377643,48.30948756,36.6799872,51.94370642,51.94,23.05,2,,8,,White,5,Male,53,0.323212253,0.982584509,0.966254262,1,18,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,2.875,0.974419386,,2,1,39.55857143
2065,9.275433155,49.182969,26.96244102,56.126884,56.13,16.65,2,,6,,White,4.466666667,Female,49,0.617010077,0.989580779,0.635037233,0.75,56,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,6,0.812309006,,2,1,39.21
2066,9.028689453,45.94061518,24.41893388,52.66614059,52.67,15.44,2,,6,,Black,3.933333333,Female,50,0.113091616,0.281947081,0.91249518,0.75,-4,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.25,0.59722113,,2,1,36.71428571
2067,8.519649813,33.48799461,25.51893388,35.97832609,35.98,15.6,2,,8,,WhiteHis,5.333333333,Male,46,0.803166541,0.555566553,0.640735202,1,18,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,3.625,0.598150878,,3,3,27.24571429
2068,27.09659435,50.37364528,32.31893388,56.01574259,56.02,29.27,2,,8,,Black,5.333333333,Female,44,0.018055967,0.645459961,0.201851202,1,22,1,2,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,6.25,0.423655582,,1,1,44.55571429
2069,1.972649024,51.20924209,41.20192588,54.33652841,54.34,18.32,2,,8,,Asian,3.133333333,Male,44,0.483823158,0.683057496,0.983082936,1,30,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,5.25,0.833070216,,2,1,38.90285714
2070,23.10101699,44.38536671,37.44940419,46.552855,46.55,29.08,2,,7,1,White,3.266666667,Female,52,0.332481031,0.13724923,0.858237909,0.875,32,1,1,1,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,1,,,Imprecise Navigator,,Non-Integrator,Imprecise Navigator,2.875,0.49774357,,2,1,39.06285714
2071,1.643056545,31.37244239,36.2342969,29.85311285,29.85,16.06,2,,8,,White,3.666666667,Female,50,0.285472984,0.773978915,0.790773443,1,28,2,,1,,,Integrator,,Integrator,Integrator,0,,,Integrator,,Integrator,Integrator,4.625,0.782376179,,3,3,23.94
2072,40.74407504,41.69677531,38.61776688,42.65896545,42.66,39.86,2,,4,,Asian,4.533333333,Male,48,0.464379551,0.288469593,0.243121236,0.5,-16,1,1,1,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,0,,,Imprecise Navigator,,Imprecise Navigator,Imprecise Navigator,2.875,0.265795415,,1,1,41.46
2073,6.260528759,41.59465251,27.58936702,45.97130423,45.97,15.15,2,,6,,Black,3.666666667,Male,51,0.502128742,0.6824605,0.736195386,0.75,38,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,2.875,0.709327943,,2,1,32.76142857
2074,10.93646838,41.64613629,17.60181999,49.15998513,49.16,13.71,2,,7,,White,4.866666667,Female,47,0.609579201,0.735584316,0.337219323,0.875,50,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.125,0.53640182,,2,1,33.96714286
2075,15.41591415,54.19373703,36.63149274,59.68193837,59.68,24.26,2,,8,,Asian,4.2,Female,52,0.775762549,0.049086832,0.837866856,1,34,1,2,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,3.25,0.443476844,,2,1,44.5
2076,8.422580279,42.26582623,44.01309837,41.71980369,41.72,23.25,2,,6,,Black,3.466666667,Female,43,0.508254557,0.869543094,0.908765134,0.75,-4,1,1,1,,,Non-Integrator,,Non-Integrator,Non-Integrator,0,,,Non-Integrator,,Non-Integrator,Non-Integrator,5.25,0.889154114,,2,2,33.80428571
4002,6.443632914,50.50857212,36.01309837,55.03840767,55.03840767,18.76424352,3,1,6,,,,,48,0.137852876,0.412960232,0.80948858,1,,1,2,2,,,,Non-Integrator,Non-Integrator,Non-Integrator,0,,,,Non-Integrator,Non-Integrator,Non-Integrator,,0.611224406,1471,2,1,39.49233732
4003,31.42732994,50.63072507,46.12170759,52.03979303,52.03979303,37.54998729,3,4,4,,None,3.2,Female,39,0.465335333,0.461084329,0.650235633,0.666666667,,1,2,2,,,,Imprecise Navigator,Imprecise Navigator,Imprecise Navigator,0,,,,Non-Integrator,Imprecise Navigator,Non-Integrator,,0.555659981,903,1,2,45.82987628
4004,10.69043513,33.76706528,28.17391077,35.51492606,35.51492606,17.97521665,3,4,6,,White,2.8,Female,48,0.613168417,0.775283493,0.307213398,1,,2,,2,,,,Integrator,Integrator,Integrator,0,,,,Integrator,Integrator,Integrator,,0.541248446,853,3,3,27.99790774
4005,4.809529488,43.82018615,26.98580245,49.08093105,49.08093105,14.04964322,3,1,5,,Asian,3,Female,43,0.591035781,0.531264772,0.483989382,0.833333333,,1,1,2,,,,Non-Integrator,Non-Integrator,Non-Integrator,0,,,,Non-Integrator,Non-Integrator,Non-Integrator,,0.507627077,1067,2,1,34.06752198
4006,5.496003726,33.74335233,36.27897105,32.95097148,32.95097148,18.32224011,3,2,6,,White,4.333333333,Male,49,0.286303291,0.217712369,0.843852148,1,,2,,2,,,,Integrator,Integrator,Integrator,0,,,,Integrator,Integrator,Integrator,,0.530782258,1161,3,3,26.68151518
4007,2.982733578,7.969241571,8.170871709,7.906232154,7.906232154,5.144457799,3,5,6,,White,5.333333333,Male,44,0.904553755,0.137737126,0.954288225,1,,2,,2,,,,Integrator,Integrator,Integrator,0,,,,Integrator,Integrator,Integrator,,0.546012676,887,3,3,6.722614573
4008,5.511814088,11.99444349,9.248933028,12.85241551,12.85241551,7.06894698,3,2,5,,White,5.933333333,Male,47,0.892687855,0.28114292,0.653325634,0.833333333,,2,,2,,,,Integrator,Integrator,Integrator,0,,,,Integrator,Integrator,Integrator,,0.467234277,1095,3,3,10.37378614
4009,26.95182379,57.88148008,41.42325342,63.0246759,63.0246759,32.98158614,3,4,6,,Asian,2.133333333,Female,41,0.443352153,0.988581062,0.928399874,1,,1,2,2,,,,Imprecise Navigator,Imprecise Navigator,Imprecise Navigator,0,,,,Non-Integrator,Imprecise Navigator,Non-Integrator,,0.958490468,1330,1,1,50.149066
4010,7.588897501,52.51522992,32.17401882,58.87185838,58.87185838,17.83269805,3,4,5,,Black,5.2,Female,41,0.165799155,0.93600255,0.884132369,0.833333333,,1,2,2,,,,Non-Integrator,Non-Integrator,Non-Integrator,0,,,,Non-Integrator,Non-Integrator,Non-Integrator,,0.91006746,1090,2,1,41.28364681
4011,16.32211774,45.94436968,33.11893388,49.95231837,49.95231837,23.32079113,3,6,6,,White,3.066666667,Female,47,0.477017654,0.311388396,0.234990372,1,,1,1,2,,,,Non-Integrator,Non-Integrator,Non-Integrator,0,,,,Non-Integrator,Non-Integrator,Non-Integrator,,0.273189384,815,2,1,38.5388067
4012,39.43871508,52.6182611,46.23040362,54.61446656,54.61446656,42.26858531,3,2,2,,Hispanic,3.8,Female,34,0.128687409,0.741376026,0.402589052,0.333333333,,1,2,2,,,,Imprecise Navigator,Imprecise Navigator,Imprecise Navigator,0,,,,Non-Integrator,Imprecise Navigator,Non-Integrator,,0.571982539,901,1,2,49.3233746
4013,19.09569996,45.74709568,37.60192588,48.29246125,48.29246125,26.80662742,3,6,4,,Asian,5.333333333,Male,42,0.171212532,0.758903312,0.949147386,0.666666667,,1,1,2,,,,Non-Integrator,Non-Integrator,Non-Integrator,0,,,,Non-Integrator,Non-Integrator,Non-Integrator,,0.854025349,831,2,1,39.08424675
