"participant","Overall_r","Overall_rsquared","Overall_angle","Overall_x_scale","Overall_y_scale","Overall_distortion_index","Batty_r","Batty_rsquared","Batty_angle","Batty_x_scale","Batty_y_scale","Batty_distortion_index","Golledge_r","Golledge_rsquared","Golledge_angle","Golledge_x_scale","Golledge_y_scale","Golledge_distortion_index"
"Rep BACD_8",0.420353525356911,0.176697086279983,43.0059621649808,0.337181943632246,0.337181943632246,0.823302913720017,0.684299493380776,0.468265796641187,-21.5649747501707,0.591222664528195,0.591222664528195,0.531734203358813,0.989911337311503,0.979924455737847,12.0934480389881,1.04854355320009,1.04854355320009,0.0200755442621521
"Rep BADC_10",0.491277317171447,0.241353402367174,-73.9501549526391,0.336962729938193,0.336962729938193,0.758646597632826,0.692048149734719,0.478930641551247,-65.9719504513141,0.475774134930875,0.475774134930875,0.521069358448753,0.374676677592372,0.140382612731658,-66.3369513180035,0.560642636423111,0.560642636423111,0.859617387268342
"Rep BADC_11",0.825487208644416,0.68142913163555,-30.6032271987708,0.811153987489038,0.811153987489038,0.31857086836445,0.90505692466654,0.819128036886855,-19.3904624075943,1.13100041658247,1.13100041658247,0.180871963113145,0.802100670000403,0.643365484815095,1.60280096058043,1.3872077799501,1.3872077799501,0.356634515184904
"Rep BADC_6",0.665150470649859,0.442425148605729,-88.5215429579845,0.505340994680728,0.505340994680728,0.557574851394271,0.556135119193149,0.309286270799978,-44.8250687587146,0.500794283575865,0.500794283575865,0.690713729200022,0.588983599879955,0.346901680927551,-14.5637335676989,0.626905375218658,0.626905375218658,0.653098319072449
"Rep BADC_7",0.980807699918575,0.961983744219565,-19.2343568341679,0.938255376204898,0.938255376204898,0.0380162557804359,0.977448322462526,0.955405223084807,-26.9565157764065,0.83820058356845,0.83820058356845,0.0445947769151931,0.971750810344994,0.944299637406152,1.70620179284013,1.0526620744646,1.0526620744646,0.0557003625938479
"Rep BADC_8",0.790948744133398,0.6255999158462,-55.7587213663435,0.570275899665613,0.570275899665613,0.374400084153799,0.858198197164349,0.736504145616139,-31.464553015314,0.941387933624415,0.941387933624415,0.26349585438386,0.617029285306309,0.380725138925614,-45.0986664533615,0.625164843659973,0.625164843659973,0.619274861074386
"Rep BADC_9",0.958919506959943,0.9195266208283,20.8917317744119,0.889537218952535,0.889537218952535,0.0804733791717006,0.972559179414823,0.945871357464034,43.7635396177281,0.821101555586119,0.821101555586119,0.0541286425359659,0.98992306029636,0.979947665306511,-9.39095237412715,1.11694156262937,1.11694156262937,0.0200523346934883
"Rev PILOT_1",0.873486313619106,0.762978340079895,-60.224347311137,0.656177842704886,0.656177842704886,0.237021659920105,0.905409471422772,0.819766310942064,-47.4432306485139,0.862816815317704,0.862816815317704,0.180233689057936,0.903162678642006,0.815702824091804,-18.8749937057313,0.97173992199712,0.97173992199712,0.184297175908197
"Rev PILOT_2",0.437161333390948,0.191110031412151,8.44466480062841,0.437541683875835,0.437541683875835,0.808889968587848,0.902913750121812,0.815253240159033,-73.8895476708445,1.30581577740544,1.30581577740544,0.184746759840967,0.824723085259941,0.680168167360676,0.615224719147458,1.55156906695266,1.55156906695266,0.319831832639323
"Rev_10",0.37546469158844,0.140973734629603,-25.9942347517696,0.365585489992635,0.365585489992635,0.859026265370397,0.679299958570266,0.461448433713565,-5.03271442551268,1.06237834550885,1.06237834550885,0.538551566286435,0.912530660316544,0.832712206017748,28.391562001918,0.92255064610362,0.92255064610362,0.167287793982252
"Rev_11",0.470514881316712,0.22138425354048,11.0018850305146,0.375760911996586,0.375760911996586,0.77861574645952,0.974876367501804,0.950383931913513,-4.09439515606174,1.44140713850271,1.44140713850271,0.0496160680864866,0.974313573329019,0.949286939173162,67.7261899672313,1.06229741241012,1.06229741241012,0.0507130608268367
"Rev_12",0.343314047876948,0.117864535469655,-53.5895626624784,0.340113673729375,0.340113673729375,0.882135464530345,0.738929652431204,0.5460170312421,0.559070839154524,1.19907787779716,1.19907787779716,0.4539829687579,0.926543111282835,0.858482137065676,-9.61610580391336,1.45905338836829,1.45905338836829,0.141517862934324
"Rev_14",0.933443072211745,0.871315969060101,78.7776945348567,0.835113688805471,0.835113688805471,0.128684030939899,0.971300987239312,0.943425607812062,-69.4788317968164,1.07683133928073,1.07683133928073,0.0565743921879378,0.975681455593157,0.951954302788382,72.5140010586424,1.00952168177014,1.00952168177014,0.048045697211619
"Rev_15",0.962361680843282,0.926140004755507,26.6259859561917,0.924451540823524,0.924451540823524,0.0738599952444932,0.9737953283331,0.94827734148337,49.2831723159459,1.08091507477402,1.08091507477402,0.0517226585166297,0.999414186784731,0.998828716746585,2.37837958074847,1.00651253540194,1.00651253540194,0.00117128325341429
"Rev_16",0.591366395936529,0.349714214242959,-14.0675248364408,0.516354496267994,0.516354496267994,0.65028578575704,0.77361585816618,0.598481496006196,31.231650558994,0.787595558562843,0.787595558562843,0.401518503993804,0.923597603152303,0.85303253254868,-6.21522382328534,1.27891347717178,1.27891347717178,0.14696746745132
"Rev_17",0.310711593995381,0.0965416946431503,-82.3344470591308,0.267318747863749,0.267318747863749,0.90345830535685,0.907673609397449,0.823871381196593,-18.0149749472166,1.25232967971611,1.25232967971611,0.176128618803407,0.731912391163967,0.535695748339356,15.6226801756293,0.80021207539153,0.80021207539153,0.464304251660643
"Rev_18",0.495451973065405,0.245472657614402,7.28764188374268,0.416104909317359,0.416104909317359,0.754527342385598,0.50853199981697,0.258604794837847,-55.3905529614223,0.591894298105961,0.591894298105961,0.741395205162153,0.565853265836852,0.320189918458231,-20.1192295049691,0.702064103341634,0.702064103341634,0.679810081541769
"Rev_21",0.556562692870248,0.309762031094982,58.5915957134734,0.524877017622276,0.524877017622276,0.690237968905018,0.523603223161791,0.274160335305417,-19.3450823404608,0.708365628918574,0.708365628918574,0.725839664694583,0.937023366091346,0.878012788601156,-73.1495554695281,1.62312922774446,1.62312922774446,0.121987211398844
"Rev_22",0.9160812747919,0.839204902024353,-49.6597656849431,0.862510602789992,0.862510602789992,0.160795097975647,0.977587128608408,0.955676594020832,-39.5397135848906,1.28128556822183,1.28128556822183,0.0443234059791673,0.880060773468151,0.77450696499736,-46.5177948231466,1.23045325368489,1.23045325368489,0.225493035002639
"Rev_23",0.97625593432043,0.953075649295856,-22.6715913150916,0.922449953048613,0.922449953048613,0.0469243507041439,0.955898501761893,0.913741945670631,-26.102208008246,1.00263086972347,1.00263086972347,0.0862580543293685,0.944799793744418,0.892646650259495,-7.36232137681733,0.993130759191765,0.993130759191765,0.107353349740505
"Rev_24",0.931997265542051,0.86861890297786,-25.4218518164904,0.872858691265443,0.872858691265443,0.131381097022139,0.94872704239234,0.900083000966517,-40.2772293501671,0.836692874888118,0.836692874888118,0.0999169990334821,0.915319737663573,0.837810222156513,21.0829697679679,1.03408095315719,1.03408095315719,0.162189777843487
"Rev_25",0.907506659448204,0.823568336942838,-29.334437203587,0.689459075938501,0.689459075938501,0.176431663057162,0.646125526595302,0.417478196118057,-33.667232323662,0.524279633181014,0.524279633181014,0.582521803881944,0.853640154993751,0.728701514217755,-15.6082232627133,0.617296462272591,0.617296462272591,0.271298485782245
"Rev_27",0.97744466121666,0.955398065740951,-22.7091052805169,0.881279568243618,0.881279568243618,0.0446019342590492,0.970172421910637,0.941234528235951,-38.3079511217866,0.875912191823495,0.875912191823495,0.0587654717640496,0.97241352662812,0.945588066769338,-12.2125184641836,1.07445972161981,1.07445972161981,0.0544119332306621
"Rev_29",0.531972063773481,0.282994276635416,-56.5334595555404,0.531790306552091,0.531790306552091,0.717005723364584,0.889477782291285,0.791170725189823,-33.2036751476119,1.31081975113011,1.31081975113011,0.208829274810177,0.524358488552091,0.274951824516633,70.9143221030907,0.930878565658305,0.930878565658305,0.725048175483366
"Rev_3",0.772678724107498,0.597032410688392,-4.60380001567435,0.737527154088321,0.737527154088321,0.402967589311608,0.678183875186224,0.459933368562604,-86.4913942775914,0.728718855531183,0.728718855531183,0.540066631437396,0.939243895252448,0.882179094768992,17.28921897473,1.03780179308465,1.03780179308465,0.117820905231008
"Rev_31",0.739128715308203,0.546311257793154,-57.2417746828289,0.606287670497629,0.606287670497629,0.453688742206845,0.994190576944606,0.988414903285448,-61.7680966444483,1.02314939328805,1.02314939328805,0.0115850967145525,0.892106227234075,0.795853520669814,26.5094007864017,1.27793753712468,1.27793753712468,0.204146479330185
"Rev_32",0.741146168773226,0.549297643487232,22.4630362668612,0.67007775939061,0.67007775939061,0.450702356512769,0.944509529493421,0.892098251303883,19.1541540188137,1.11223285553565,1.11223285553565,0.107901748696117,0.939622038386853,0.882889575022266,16.1850177549793,0.926994200670445,0.926994200670445,0.117110424977734
"Rev_33",0.689594474825408,0.47554053970973,-18.7356358226715,0.579420952485169,0.579420952485169,0.52445946029027,0.939782073531094,0.883190345730402,-53.0688766699957,0.982277035451757,0.982277035451757,0.116809654269598,0.54591367039714,0.298021735526478,-43.6873828790385,0.635044414405353,0.635044414405353,0.701978264473522
"Rev_34",0.904503115789876,0.818125886473594,-5.33330212497596,0.831976970453717,0.831976970453717,0.181874113526406,0.723780871642772,0.52385875015597,20.571549535077,0.468893841418289,0.468893841418289,0.476141249844029,0.901888526118118,0.813402913543511,-14.8282155016818,1.31739695973685,1.31739695973685,0.186597086456488
"Rev_4",0.737635184480027,0.544105665382884,-51.8263687593738,0.640414703249216,0.640414703249216,0.455894334617116,0.853753758092881,0.728895479457717,-37.4363962472267,1.01286918253211,1.01286918253211,0.271104520542283,0.965313548019936,0.931830245990838,17.0796465134624,1.05072153207066,1.05072153207066,0.0681697540091619
"Rev_5",0.594484276852735,0.353411555425119,7.7980557993056,0.522990268693543,0.522990268693543,0.646588444574881,0.933096400232255,0.870668892126393,-10.2597175911961,1.66326365223263,1.66326365223263,0.129331107873607,0.220478567654128,0.048610798794816,-71.9738020762314,0.176553696967143,0.176553696967143,0.951389201205184
"Rev_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rev_7",0.928650697318384,0.862392117629922,-54.538087435651,0.921578976824799,0.921578976824799,0.137607882370078,0.98205632716661,0.964434629727971,-40.9293373031611,1.46329033962411,1.46329033962411,0.0355653702720293,0.935758274570755,0.875643548427636,-80.3393702038891,0.982012994156706,0.982012994156706,0.124356451572363
"Rev_8",0.764960333951114,0.5851643125186,53.2894918632774,0.70165716055836,0.70165716055836,0.4148356874814,0.94984691830317,0.902209168210029,56.14271898502,1.24151721357252,1.24151721357252,0.0977908317899715,0.481132431055663,0.231488416213533,-11.1152941553832,0.583138526034913,0.583138526034913,0.768511583786467
"Rev_9",0.486806682020394,0.236980745659705,16.2941605083305,0.482478708925849,0.482478708925849,0.763019254340295,0.460767758074848,0.212306926881321,35.9444103023495,0.861941270440795,0.861941270440795,0.787693073118679,0.472125022626195,0.222902036989785,-74.5394562899559,0.518588770777003,0.518588770777003,0.777097963010215
