participant,bad_pointing_different,bad_pointing_same,Study,SBSOD,gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,K_Means_Across_All,Model_Building_Average_Within,Education,New_or_Original,MRT
Original_Study1_2045,44.35808374,20.78379304,2,4.466666667,Female,46,0.363885805,0.657390135,0.604335482,1,0.630862809,2,Original,18
Original_Study1_2047,54.2,40.64,2,2.6,Male,48,0.518980632,0.782178859,0.629413013,2,0.705795936,2,Original,42
Original_Study1_2048,60.73,19.3,2,3.266666667,Male,42,0.136965818,0.868615048,0.877611808,1,0.873113428,2,Original,6
Original_Study1_2049,45.14,17.31,2,3.266666667,Male,54,0.443580557,0.821270136,0.08503281,1,0.453151473,2,Original,44
Original_Study1_2051,32.45,6.82,2,5.733333333,Male,51,0.803873393,0.311304529,0.820036357,3,0.565670443,2,Original,48
Original_Study1_2052,62.61,36.78,2,2.733333333,Male,46,0.128326476,0.681675748,0.806109579,2,0.743892664,2,Original,-2
Original_Study1_2053,34.13,20.62,2,2.6,Female,54,0.617497072,0.895733609,0.732823861,3,0.814278735,2,Original,28
Original_Study1_2054,64.3,10.13,2,5.4,Male,46,0.306953495,0.042654961,0.708041188,1,0.375348075,2,Original,72
Original_Study1_2055,19.17,8.44,2,5.6,Male,54,0.827670389,0.677103865,0.822904412,3,0.750004139,2,Original,58
Original_Study1_2056,17.73,9.86,2,5.8,Female,54,0.964063205,0.490372158,0.872171018,3,0.681271588,2,Original,64
Original_Study1_2057,53.86,47.79,2,4.866666667,Male,45,0.201963993,0.830358235,0.923980568,2,0.877169402,2,Original,26
Original_Study1_2058,27.32,12.81,2,6.333333333,Male,47,0.963645311,0.960751237,0.966104127,3,0.963427682,2,Original,52
Original_Study1_2059,56.33,31.34,2,5,Female,43,0.571653364,0.823067374,0.1820709,2,0.502569137,2,Original,24
Original_Study1_2060,65.88,27.76,2,5.6,Male,49,0.395598387,0.900938262,0.94995305,1,0.925445656,2,Original,58
Original_Study1_2061,43.23,34.39,2,5,Female,46,0.628813081,0.485953415,0.637968551,2,0.561960983,2,Original,24
Original_Study1_2062,13.15,3.86,2,5.133333333,Male,51,0.871319934,0.795661275,0.85452397,3,0.825092623,2,Original,-4
Original_Study1_2063,37.03,8.56,2,2.866666667,Male,53,0.922075391,0.708692693,0.574112516,3,0.641402605,2,Original,32
Original_Study1_2064,51.94,23.05,2,5,Male,53,0.323212253,0.982584509,0.966254262,1,0.974419386,2,Original,20
Original_Study1_2065,56.13,16.65,2,4.466666667,Female,49,0.617010077,0.989580779,0.635037233,1,0.812309006,2,Original,34
Original_Study1_2066,52.67,15.44,2,3.933333333,Female,50,0.113091616,0.281947081,0.91249518,1,0.597221131,2,Original,-34
Original_Study1_2067,35.98,15.6,2,5.333333333,Male,46,0.803166541,0.555566553,0.640735202,3,0.598150878,2,Original,34
Original_Study1_2068,56.02,29.27,2,5.333333333,Female,44,0.018055967,0.645459961,0.201851202,1,0.423655582,2,Original,52
Original_Study1_2069,54.34,18.32,2,3.133333333,Male,44,0.483823158,0.683057496,0.983082936,1,0.833070216,2,Original,18
Original_Study1_2070,46.55,29.08,2,3.266666667,Female,52,0.332481031,0.13724923,0.858237909,1,0.49774357,2,Original,56
Original_Study1_2071,29.85,16.06,2,3.666666667,Female,50,0.285472984,0.773978915,0.790773443,3,0.782376179,2,Original,-4
Original_Study1_2072,42.66,39.86,2,4.533333333,Male,48,0.464379551,0.288469593,0.243121236,2,0.265795415,2,Original,18
Original_Study1_2073,45.97,15.15,2,3.666666667,Male,51,0.502128742,0.6824605,0.736195386,1,0.709327943,2,Original,22
Original_Study1_2074,49.16,13.71,2,4.866666667,Female,47,0.609579201,0.735584316,0.337219323,1,0.53640182,2,Original,30
Original_Study1_2075,59.68,24.26,2,4.2,Female,52,0.775762549,0.049086832,0.837866856,1,0.443476844,2,Original,32
Original_Study1_2076,41.72,23.25,2,3.466666667,Female,43,0.508254557,0.869543094,0.908765134,1,0.889154114,2,Original,28
Original_Study1_4002,55.03840767,18.76424352,3, ,,48,0.137852876,0.412960232,0.80948858,1,0.611224406,2,Original,-16
Original_Study1_4003,52.03979303,37.54998729,3,3.2,Female,39,0.465335333,0.461084329,0.650235633,2,0.555659981,2,Original,38
Original_Study1_4004,35.51492606,17.97521665,3,2.8,Female,48,0.613168417,0.775283493,0.307213398,3,0.541248446,2,Original,50
Original_Study1_4005,49.08093105,14.04964322,3,3,Female,43,0.591035781,0.531264772,0.483989382,1,0.507627077,2,Original,34
Original_Study1_4006,32.95097148,18.32224011,3,4.333333333,Male,49,0.286303291,0.217712369,0.843852148,3,0.530782259,2,Original,-4
Original_Study1_4007,7.906232154,5.144457799,3,5.333333333,Male,44,0.904553755,0.137737126,0.954288225,3,0.546012676,2,Original,
Original_Study1_4008,12.85241551,7.06894698,3,5.933333333,Male,47,0.892687855,0.28114292,0.653325634,3,0.467234277,2,Original,
Original_Study1_4009,63.0246759,32.98158614,3,2.133333333,Female,41,0.443352153,0.988581062,0.928399874,2,0.958490468,2,Original,
Original_Study1_4010,58.87185838,17.83269805,3,5.2,Female,41,0.165799155,0.93600255,0.884132369,1,0.91006746,2,Original,
