participant,UUID,date,condition,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Batty House,92,173.5694617,81.56946175,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Tobler Museum,-149,-147.0284471,1.971552938,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Harvey House,35,139.9309368,104.9309368,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Sauer Center,-70,-76.21088344,6.210883445,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Harris Hall,43,176.2022806,133.2022806,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Lynch Station,95,-173.9683139,91.03168609,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Golledge Hall,Snow Church,Snow Church,0,1.204134401,1.204134401,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Batty House,-146,-90.64700942,55.35299058,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Harris Hall,-145,-88.09346154,56.90653846,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Lynch Station,-145,-79.44851915,65.55148085,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Golledge Hall,-116,-125.8431145,9.84311455,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Tobler Museum,-64,-63.69277617,0.307223834,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Harvey House,-140,-119.6929579,20.30704214,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Snow Church,Sauer Center,Sauer Center,-85,-0.279262352,84.72073765,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Harvey House,4,-23.09134403,27.09134403,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Golledge Hall,-49,-51.85616181,2.856161813,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Batty House,-45,6.744508622,51.74450862,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Harris Hall,-59,4.240040564,63.24004056,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Tobler Museum,-3,2.713388186,5.713388186,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Lynch Station,-50,17.76205492,67.76205492,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Snow Church,-87,-89.63525726,2.635257259,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Harris Hall,90,-173.2852643,96.71473567,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Batty House,90,-171.0086651,98.99133486,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Golledge Hall,57,67.30353066,10.30353066,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Sauer Center,150,-20.69981416,170.6998142,same,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Harvey House,77,147.248191,70.248191,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Lynch Station,98,-156.2355625,105.7644375,different,FALSE
Rep BACD_4,9b0019b7-7b72-4cca-9d01-80a29b9452e7,2020-10-05 23:33:57 UTC,Rep BACD,0,Tobler Museum,Sauer Center,Snow Church,36,38.78279809,2.782798086,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Golledge Hall,57,51.76768154,5.232318462,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Sauer Center,33,30.3316951,2.668304903,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Lynch Station,-51,-47.32798389,3.672016108,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Harris Hall,24,37.5286373,13.5286373,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Harvey House,86,93.19423766,7.194237658,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Snow Church,45,48.19947553,3.199475531,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Batty House,Lynch Station,Tobler Museum,37,37.30802198,0.308021981,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Harris Hall,11,7.021704671,3.978295329,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Harvey House,41,48.19593801,7.195938014,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Snow Church,-13,-8.968174613,4.031825387,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Sauer Center,-26,-29.20903342,3.209033424,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Tobler Museum,-22,-17.95076442,4.049235579,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Golledge Hall,0,-3.323863738,3.323863738,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Lynch Station,Harris Hall,Batty House,128,130.6542463,2.654246333,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Sauer Center,-64,-110.6574336,46.65743363,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Tobler Museum,-82,-99.95984558,17.95984558,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Harvey House,83,-2.146796904,85.1467969,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Batty House,83,83.35216568,0.352165685,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Snow Church,-67,-84.7281122,17.7281122,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Lynch Station,108,114.5627943,6.562794278,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harris Hall,Harvey House,Golledge Hall,-60,-77.71082192,17.71082192,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Golledge Hall,86,64.9530254,21.0469746,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Sauer Center,79,46.29205396,32.70794604,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Lynch Station,-20,-32.28246429,12.28246429,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Batty House,-51,-46.54689912,4.453100878,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Harris Hall,6,-4.196894849,10.19689485,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Tobler Museum,66,42.14615863,23.85384137,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Harvey House,Harris Hall,Snow Church,80,66.19140238,13.80859762,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Harvey House,118,139.9309368,21.93093678,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Snow Church,2,1.204134401,0.795865599,same,FALSE
