participant,Participant_UUID_Silcton,Participant_UUID_Silcton_Truncated,pilot,data_share,date,MRT,SBSOD
81,a2b3a579-b55e-41df-b1e1-21469a6a2498,a2b3a579-b55,no,TRUE,2020-10-08 18:03:21 UTC,-4,2.866666667
82,13673c5a-aaad-4e8c-9dd5-42d34feb16ff,13673c5a-aaa,no,TRUE,2020-10-08 20:01:49 UTC,54,5
83,782dd814-e549-4bbd-abdd-89b957a37fd4,782dd814-e54,no,TRUE,2020-10-09 18:09:34 UTC,30,5.733333333
84,3537167e-74b4-4495-bb0d-83474698babf,3537167e-74b,no,TRUE,2020-10-12 14:09:10 UTC,32,5.266666667
85,95c2cd96-ff2b-46d2-9f8b-089acf5483cd,95c2cd96-ff2,no,TRUE,2020-10-12 16:08:28 UTC,38,4.333333333
86,3ff3778d-48c5-4da8-9a2a-90e8db125d22,3ff3778d-48c,no,TRUE,2020-10-12 18:00:55 UTC,40,2.066666667
87,6a7aed67-dc50-492a-b244-89543b97d52b,6a7aed67-dc5,no,TRUE,2020-10-13 14:05:05 UTC,56,4.533333333
88,f567cc0d-e387-4cc8-ab50-ca21c444c747,f567cc0d-e38,no,TRUE,2020-10-13 19:05:11 UTC,52,3.933333333
89,9fa9f858-9b15-4d66-9dc3-a70ba7f8a053,9fa9f858-9b1,no,TRUE,2020-10-14 14:03:10 UTC,42,4.2
90,c31e2c8f-c2a0-4c97-9b60-34c3dc50a005,c31e2c8f-c2a,no,TRUE,2020-10-14 14:12:46 UTC,-14,1.266666667
91,df273804-3584-46cc-a97c-ecf19582522f,df273804-358,no,TRUE,2020-10-14 16:11:50 UTC,28,3.866666667
92,27225966-89dd-4e4f-ba69-6a4b22151d47,27225966-89d,no,FALSE,2020-10-15 14:06:41 UTC,44,3.333333333
93,e1e09cc2-8bbf-402b-a73e-5daea63d971e,e1e09cc2-8bb,no,TRUE,2020-10-15 14:11:17 UTC,42,4.533333333
94,2521b36f-b7d7-4f5b-b4a9-1b2b7bf02170,2521b36f-b7d,no,TRUE,2020-10-15 16:00:36 UTC,26,3.533333333
95,c18592c2-5919-4c9a-87b6-a0ece6838db5,c18592c2-591,no,TRUE,2020-10-15 16:12:14 UTC,18,2.8
96,662a874f-162b-4d57-871d-252bb5cd03ce,662a874f-162,no,TRUE,2020-10-15 17:11:16 UTC,26,3.6
97,35761d71-27e7-4f63-85a8-2266caa4ab4b,35761d71-27e,no,TRUE,2020-10-15 18:08:56 UTC,8,4.133333333
98,874e183f-5158-4412-a885-6654a28783aa,874e183f-515,no,TRUE,2020-10-15 19:36:39 UTC,46,2.866666667
99,911cd88f-2341-41b7-8a5b-5c18346455fe,911cd88f-234,no,TRUE,2020-10-16 13:45:15 UTC,54,4.466666667
100,7bc64d0c-08fa-410c-beaa-e6e3ad9831fc,7bc64d0c-08f,no,FALSE,2020-10-16 14:09:49 UTC,34,2.666666667
101,637ab224-9edf-48e8-a297-e8af174201d0,637ab224-9ed,no,TRUE,2020-10-16 16:11:34 UTC,26,2.733333333
102,d89053b1-22b0-4ae4-8768-4f233e773b1a,d89053b1-22b,no,TRUE,2020-10-20 14:03:49 UTC,30,3.066666667
103,d0648ecc-f187-4547-9e20-b7b868de84ef,d0648ecc-f18,no,TRUE,2020-10-20 19:03:33 UTC,30,4.4
104,c83f657b-3801-41a3-b556-e2e4bc1af604,c83f657b-380,no,TRUE,2020-10-21 14:03:15 UTC,56,2.466666667
105,fe20bb37-07f7-4c4c-a13e-c4125a6b5795,fe20bb37-07f,no,TRUE,2020-10-21 14:07:50 UTC,24,3.8
106,84949345-3d43-4edf-b863-27cc8e2f4173,84949345-3d4,no,TRUE,2020-10-21 16:03:13 UTC,20,3.4
107,0689384c-416e-4368-8e1c-c4206e8a8e1c,0689384c-416,no,TRUE,2020-10-21 18:00:42 UTC,10,2.866666667
108,3b2f3e72-e644-4f9d-96a7-401c196d66b1,3b2f3e72-e64,no,TRUE,2020-10-22 14:04:00 UTC,4,3.533333333
109,f5f5d367-0c58-4cd6-a2b1-b984b763fc05,f5f5d367-0c5,no,TRUE,2020-10-22 14:04:26 UTC,56,5.8
110,39bc04c5-fa30-4f6a-bdda-6820699b82f6,39bc04c5-fa3,no,TRUE,2020-10-22 16:34:16 UTC,48,5.533333333
111,247da523-61f9-4393-87a9-31214cf19d49,247da523-61f,no,TRUE,2020-10-23 14:04:46 UTC,26,3.8
112,6f49cf77-8084-4d0f-a0a7-191c51ab300b,6f49cf77-808,no,TRUE,2020-10-23 15:07:43 UTC,32,4.533333333
113,98647bb2-bb45-4cd2-9f07-f663803c5d2f,98647bb2-bb4,no,TRUE,2020-10-23 17:10:29 UTC,24,4.866666667
114,0d484b4b-820f-4cda-9fa3-827b3f00e934,0d484b4b-820,no,TRUE,2020-10-26 16:04:25 UTC,54,5.533333333
115,6358ea6c-55b3-4925-a760-18ad5ac526eb,6358ea6c-55b,no,TRUE,2020-10-27 17:04:58 UTC,34,5.4
116,02f447fe-12a1-48a2-8cc5-2af2f9b4c034,02f447fe-12a,no,TRUE,2020-10-27 19:03:52 UTC,26,2.866666667
117,ad6ba5f5-188a-4d42-a280-63fde71d8438,ad6ba5f5-188,no,TRUE,2020-10-27 21:12:37 UTC,36,5.6
118,febbf5fa-b4ee-4101-8cf5-162acec2ce05,febbf5fa-b4e,no,TRUE,2020-10-28 13:35:59 UTC,44,4.866666667
119,c1ec3fe4-63ce-4954-8bdc-dc5e1d9ad226,c1ec3fe4-63c,no,TRUE,2020-10-29 16:09:28 UTC,14,2.933333333
120,6549564b-a203-4b9c-b6ef-e1f8162169d3,6549564b-a20,no,TRUE,2020-10-30 15:37:04 UTC,32,5.4
121,04e2f80e-24b5-4804-869e-5d8cd97ad59c,04e2f80e-24b,no,TRUE,2020-11-02 16:09:24 UTC,20,4.666666667
122,e3f74869-23ce-4d7a-83c3-7054eef1f32d,e3f74869-23c,no,TRUE,2020-11-03 15:16:23 UTC,14,4.733333333
123,ebe52bec-935f-4ebf-ab1e-743e1c1814fe,ebe52bec-935,no,TRUE,2020-11-05 15:13:15 UTC,34,4.866666667
124,5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5,5b4aadd5-412,no,TRUE,2020-11-05 18:27:44 UTC,52,5.266666667
125,10b4bfcb-cef9-428c-931a-fe277682d93f,10b4bfcb-cef,no,TRUE,2020-11-05 21:01:29 UTC,12,3.666666667
126,1239fd57-e248-4ee2-9ecb-1b60c88a6f57,1239fd57-e24,no,TRUE,2020-11-06 15:05:52 UTC,52,3.4
127,265bac2e-533a-4476-ba3d-168dc5bac0d1,265bac2e-533,no,TRUE,2020-11-06 21:08:16 UTC,-8,5.933333333
128,edf159e2-07d8-43a4-857b-e869bc174485,edf159e2-07d,no,TRUE,2020-11-09 15:10:51 UTC,0,3.333333333
129,46fb51be-0d6d-4fc0-8e61-5adff691f9be,46fb51be-0d6,no,TRUE,2020-11-09 17:01:10 UTC,54,6.133333333
130,05e1702e-4712-4c0a-a07c-fcd938791f95,05e1702e-471,no,TRUE,2020-11-11 16:04:58 UTC,40,4.4
131,8e5dda57-8ac0-4073-9494-5c8f786268b7,8e5dda57-8ac,no,TRUE,2020-11-12 15:07:22 UTC,20,3.266666667
132,dadb77ed-00b8-4632-af0f-f569dafb5a5a,dadb77ed-00b,no,TRUE,2020-11-16 15:06:31 UTC,40,3.533333333
133,91c0a1ef-0d38-41f4-b2d6-aa9569c6202e,91c0a1ef-0d3,no,TRUE,2020-11-18 22:09:44 UTC,36,5.6
134,e1a48277-e211-481a-81ae-95d581ec3851,e1a48277-e21,no,TRUE,2020-11-19 15:08:23 UTC,44,5.133333333
135,4ee477f8-ff25-4bdb-9959-d9571cadb6c7,4ee477f8-ff2,no,TRUE,2020-11-20 15:07:33 UTC,66,3.733333333
136,b2d1edc9-6b16-4ce8-94ff-ddc2ec8c1cc1,b2d1edc9-6b1,no,TRUE,2020-11-20 21:20:45 UTC,44,6.8
137,37b14be4-978e-48e6-89b3-450b1a947752,37b14be4-978,no,TRUE,2020-11-24 15:11:05 UTC,28,5.133333333
138,7e603d9d-d65b-4dab-972c-f194b3ba3033,7e603d9d-d65,no,TRUE,2020-11-24 15:33:39 UTC,32,5.2
139,b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541,b9bfd63d-9c7,no,TRUE,2020-11-24 16:06:52 UTC,-20,4.8
140,73cc3358-285f-4f2e-90c0-2fca4281b9f6,73cc3358-285,no,FALSE,2020-11-24 16:42:14 UTC,2,3.4
141,7c15814f-d9ba-4e6f-84ed-5e625443416a,7c15814f-d9b,no,TRUE,2020-12-02 15:03:54 UTC,34,4.8
142,53473141-5199-42a0-a807-52dca98ceb25,53473141-519,no,TRUE,2020-12-02 19:10:18 UTC,58,5.6
143,b16cbe15-9952-4706-8e1a-cb16fb90ec92,b16cbe15-995,no,TRUE,2020-12-03 15:11:54 UTC,18,3.2
144,d9c6574f-496e-495d-a6ea-3f33058c15cb,d9c6574f-496,no,TRUE,2020-12-04 20:44:35 UTC,28,3.533333333
145,ad14918e-4cfe-460b-b8cf-55d39b30a6cb,ad14918e-4cf,no,TRUE,2020-12-09 15:15:10 UTC,8,3.533333333
146,fd030fc8-794d-48cb-9a90-9a051160ae5d,fd030fc8-794,no,TRUE,2020-12-10 18:11:03 UTC,8,4.2
