Start_date,End_date,Progress,Duration_seconds,Finished,Recorded_date,Institution,PIN_TU_Only,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,Participant_UUID_Qualtrics,Participant_UUID_Qualtrics_Truncated
10/15/2020 13:32,10/15/2020 13:35,100,215,TRUE,10/15/2020 13:36,Temple,98,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,874e183f-5158-4412-a885-6654a28783aa,874e183f-515
8/4/2020 8:06,8/4/2020 8:16,100,616,TRUE,8/4/2020 8:16,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,87e406b4-6551-42e2-9588-bb657a5535af,87e406b4-655
9/25/2020 8:00,9/25/2020 8:03,100,150,TRUE,9/25/2020 8:03,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,8ab2b1ed-7548-49a7-b720-4b8fabe09bc6  Pilot subject,8ab2b1ed-754
7/20/2020 10:37,7/23/2020 10:16,100,257980,TRUE,7/23/2020 10:16,UF,,Male,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,College,,Left,English,,8b2d476b-d74a-42a5-aa6e-d4fa07b02a9b,8b2d476b-d74
9/28/2020 15:11,9/28/2020 15:16,100,328,TRUE,9/28/2020 15:16,Temple,54,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,8c2cc2df-2217-4b49-bc83-0bcf7aede3b8  ,8c2cc2df-221
11/12/2020 8:03,11/12/2020 8:05,100,139,TRUE,11/12/2020 8:05,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,english,,8e5dda57-8ac0-4073-9494-5c8f786268b7,8e5dda57-8ac
10/16/2020 7:41,10/16/2020 7:44,100,130,TRUE,10/16/2020 7:44,UF,,Male,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,911cd88f-2341-41b7-8a5b-5c18346455fe,911cd88f-234
11/18/2020 15:05,11/18/2020 15:09,100,238,TRUE,11/18/2020 15:09,Temple,128,Female,28,Hispanic/Latino,White,,Master's,,Right,English,,91c0a1ef-0d38-41f4-b2d6-aa9569c6202e,91c0a1ef-0d3
7/16/2020 10:15,7/16/2020 10:19,100,249,TRUE,7/16/2020 10:19,UF,,Female,18,Not Hispanic/Latino,White,,College,,Right,English,,93b4bc24-8c25-4781-a882-0c8aa02d4630,93b4bc24-8c2
10/12/2020 10:01,10/12/2020 10:07,100,321,TRUE,10/12/2020 10:07,UF,,Male,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,95c2cd96-ff2b-46d2-9f8b-089acf5483cd,95c2cd96-ff2
7/21/2020 8:02,7/21/2020 8:07,100,278,TRUE,7/21/2020 8:07,UF,,Female,19,Not Hispanic/Latino,White,,College,,Left,English,,972a4fb5-7887-49f1-9575-979b45d9a1d6,972a4fb5-788
10/23/2020 11:05,10/23/2020 11:09,100,229,TRUE,10/23/2020 11:09,UF,,Female,19,Not Hispanic/Latino,Asian,,High School,,Right,Chinese,16,98647bb2-bb45-4cd2-9f07-f663803c5d2f,98647bb2-bb4
10/14/2020 7:58,10/14/2020 8:02,100,204,TRUE,10/14/2020 8:02,UF,,Female,30,Not Hispanic/Latino,Asian,,College,,Right,Hindi,7,9fa9f858-9b15-4d66-9dc3-a70ba7f8a053,9fa9f858-9b1
9/30/2020 9:59,9/30/2020 10:04,100,323,TRUE,9/30/2020 10:04,Temple,59,Female,26,Not Hispanic/Latino,White,,College,,Right,English,,a0505a36-a5f8-48cd-ac1f-450e25236e09,a0505a36-a5f
9/16/2020 11:06,9/16/2020 11:09,100,205,TRUE,9/16/2020 11:09,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,a1168d22-aa41-463a-98a3-ded2b8d10e2a,a1168d22-aa4
10/8/2020 12:00,10/8/2020 12:02,100,99,TRUE,10/8/2020 12:02,UF,,Female,18,Hispanic/Latino,More Than One Race,,High School,,Right,Spanish,2,a2b3a579-b55e-41df-b1e1-21469a6a2498 ,a2b3a579-b55
8/5/2020 10:11,8/5/2020 10:16,100,291,TRUE,8/5/2020 10:16,UF,,Male,20,Hispanic/Latino,White,,College,,Right,Spanish,4,a4fe06ac-16ba-4514-a860-3a6de6054d1e,a4fe06ac-16b
10/1/2020 13:18,10/1/2020 13:21,100,170,TRUE,10/1/2020 13:21,Temple,65,Female,25,Not Hispanic/Latino,Black/African American,,High School,,Right,english,,a5d65712-0aa6-43b4-86dc-1dbbe6261e92  Pilot subject,a5d65712-0aa
7/15/2020 13:22,7/15/2020 14:28,100,3969,TRUE,7/15/2020 14:28,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English ,,abbea591-a10a-4c9a-a2db-8ba5e68c9ff7,abbea591-a10
12/9/2020 8:06,12/9/2020 8:12,100,384,TRUE,12/9/2020 8:12,Temple,144,Female,18,Hispanic/Latino,Unknown/Do Not Wish To Say,,High School,,Right,Spanish,15,ad14918e-4cfe-460b-b8cf-55d39b30a6cb,ad14918e-4cf
7/2/2020 8:33,7/2/2020 8:35,100,149,TRUE,7/2/2020 8:35,Temple,5,Female,21,Not Hispanic/Latino,Black/African American,,College,,Left,English ,,ad307664-2349-428f-93ac-d8c398c606df,ad307664-234
10/27/2020 15:08,10/27/2020 15:11,100,208,TRUE,10/27/2020 15:11,Temple,113,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,ad6ba5f5-188a-4d42-a280-63fde71d8438,ad6ba5f5-188
