"participant","date","model number","building","x","y","error"
"0018","2020-07-23 17:16:30 UTC","0","Sauer Center","485","26","141.56623891309678"
"0018","2020-07-23 17:16:30 UTC","0","Tobler Museum","325","19","197.06090429103384"
"0019","2020-07-27 13:56:24 UTC","0","Batty House","26","130","142.00352108310554"
"0019","2020-07-27 13:56:24 UTC","0","Lynch Station","150","7","180.92263539977523"
"0019","2020-07-27 13:56:24 UTC","0","Golledge Hall","464","71","241.66091947189145"
"0019","2020-07-27 13:56:24 UTC","0","Snow Church","335","214","381.1062843879644"
"0019","2020-07-27 13:56:24 UTC","0","Sauer Center","608","245","240.6013300046365"
"0019","2020-07-27 13:56:24 UTC","0","Tobler Museum","598","452","346.30189141845585"
"0019","2020-07-27 13:56:24 UTC","0","Harvey House","207","329","178.61970775925036"
"0019","2020-07-27 13:56:24 UTC","0","Harris Hall","48","465","291.56474409640134"
"0020","2020-07-28 16:04:03 UTC","0","Tobler Museum","20","165","474.9505237390522"
"0020","2020-07-28 16:04:03 UTC","0","Golledge Hall","284","262","281.4977797425763"
"0020","2020-07-28 16:04:03 UTC","0","Snow Church","430","122","297.80026863654774"
"0020","2020-07-28 16:04:03 UTC","0","Sauer Center","199","16","426.1419951143046"
"0020","2020-07-28 16:04:03 UTC","0","Harvey House","684","23","604.6023486557094"
"0020","2020-07-28 16:04:03 UTC","0","Batty House","487","510","517.9227741661879"
"0020","2020-07-28 16:04:03 UTC","0","Lynch Station","443","310","469.4219849985725"
"0020","2020-07-28 16:04:03 UTC","0","Harris Hall","703","227","488.00102458908833"
"0021","2020-07-30 14:07:28 UTC","0","Batty House","62","443","174.54512310574592"
"0021","2020-07-30 14:07:28 UTC","0","Lynch Station","16","288","164.04877323527901"
"0021","2020-07-30 14:07:28 UTC","0","Harris Hall","202","288","63.34824385884742"
"0021","2020-07-30 14:07:28 UTC","0","Harvey House","622","419","334.5743564590687"
"0021","2020-07-30 14:07:28 UTC","0","Sauer Center","302","7","323.0061918911153"
"0021","2020-07-30 14:07:28 UTC","0","Golledge Hall","551","190","101.83319694480774"
"0021","2020-07-30 14:07:28 UTC","0","Snow Church","539","57","230.72277737579356"
"0021","2020-07-30 14:07:28 UTC","0","Tobler Museum","304","184","198.90952717253137"
"0023","2020-08-04 14:25:06 UTC","0","Tobler Museum","586","483","372.7868023414992"
"0023","2020-08-04 14:25:06 UTC","0","Sauer Center","118","458","679.8955802180215"
"0023","2020-08-04 14:25:06 UTC","0","Golledge Hall","564","328","37.0"
"0023","2020-08-04 14:25:06 UTC","0","Snow Church","304","336","432.3251091481965"
"0023","2020-08-04 14:25:06 UTC","0","Harvey House","477","161","372.1088550411022"
"0023","2020-08-04 14:25:06 UTC","0","Lynch Station","594","7","593.6438326134619"
"0023","2020-08-04 14:25:06 UTC","0","Batty House","462","34","495.85179237348734"
"0023","2020-08-04 14:25:06 UTC","0","Harris Hall","694","191","480.2770034053265"
"0024","2020-08-04 16:12:38 UTC","0","Batty House","60","500","230.37577997697588"
"0024","2020-08-04 16:12:38 UTC","0","Lynch Station","8","322","198.04039991880444"
"0024","2020-08-04 16:12:38 UTC","0","Harris Hall","181","298","79.62411694957753"
"0024","2020-08-04 16:12:38 UTC","0","Golledge Hall","420","143","206.49455198624491"
"0024","2020-08-04 16:12:38 UTC","0","Harvey House","279","414","72.56721022610694"
"0024","2020-08-04 16:12:38 UTC","0","Tobler Museum","586","223","137.2953021774598"
"0024","2020-08-04 16:12:38 UTC","0","Snow Church","310","260","409.708432912968"
"0024","2020-08-04 16:12:38 UTC","0","Sauer Center","208","121","432.83368630456664"
"0025","2020-08-05 16:18:35 UTC","0","Tobler Museum","238","285","302.6450065671"
"0025","2020-08-05 16:18:35 UTC","0","Sauer Center","338","388","478.60004178854814"
"0025","2020-08-05 16:18:35 UTC","0","Golledge Hall","5","325","560.033034739916"
"0025","2020-08-05 16:18:35 UTC","0","Snow Church","116","475","657.9513659838393"
"0025","2020-08-05 16:18:35 UTC","0","Harvey House","365","47","443.71725231277634"
"0025","2020-08-05 16:18:35 UTC","0","Harris Hall","456","104","270.1203435507959"
"0025","2020-08-05 16:18:35 UTC","0","Lynch Station","595","73","585.2264518970413"
"0025","2020-08-05 16:18:35 UTC","0","Batty House","596","8","627.2615084635753"
"0026","2020-08-05 18:39:39 UTC","0","Lynch Station","72","260","148.64723340849636"
"0026","2020-08-05 18:39:39 UTC","0","Harris Hall","383","214","168.4280261714184"
"0026","2020-08-05 18:39:39 UTC","0","Harvey House","479","435","191.637678967368"
"0026","2020-08-05 18:39:39 UTC","0","Batty House","138","473","229.61271741782946"
"0026","2020-08-05 18:39:39 UTC","0","Golledge Hall","300","59","351.45412218382074"
"0026","2020-08-05 18:39:39 UTC","0","Snow Church","663","287","97.63708311906906"
"0026","2020-08-05 18:39:39 UTC","0","Sauer Center","519","49","114.76933388322858"
"0026","2020-08-05 18:39:39 UTC","0","Tobler Museum","656","142","164.2224101637776"
"0027","2020-08-06 14:05:26 UTC","0","Batty House","62","521","251.44780770569466"
"0027","2020-08-06 14:05:26 UTC","0","Lynch Station","25","339","215.39266468475662"
"0027","2020-08-06 14:05:26 UTC","0","Harris Hall","306","313","125.89678312014172"
"0027","2020-08-06 14:05:26 UTC","0","Harvey House","422","471","128.76334882255898"
"0027","2020-08-06 14:05:26 UTC","0","Golledge Hall","540","180","113.5649593844862"
"0027","2020-08-06 14:05:26 UTC","0","Snow Church","504","13","286.0209782515961"
"0027","2020-08-06 14:05:26 UTC","0","Sauer Center","332","-3","293.1091946698363"
"0027","2020-08-06 14:05:26 UTC","0","Tobler Museum","165","57","334.37852801877096"
"0028","2020-08-06 16:05:23 UTC","0","Batty House","31","512","240.03333101883996"
"0028","2020-08-06 16:05:23 UTC","0","Lynch Station","8","337","213.03755537463343"
"0028","2020-08-06 16:05:23 UTC","0","Harris Hall","216","271","45.0111097397076"
"0028","2020-08-06 16:05:23 UTC","0","Harvey House","349","186","304.0164469235176"
"0028","2020-08-06 16:05:23 UTC","0","Golledge Hall","647","151","162.75441622272496"
"0028","2020-08-06 16:05:23 UTC","0","Sauer Center","385","461","515.3018532860133"
"0028","2020-08-06 16:05:23 UTC","0","Tobler Museum","575","474","361.4249576329781"
"0028","2020-08-06 16:05:23 UTC","0","Snow Church","463","256","258.08913189051566"
"0029","2020-08-10 16:16:06 UTC","0","Golledge Hall","236","137","362.3534186398688"
"0029","2020-08-10 16:16:06 UTC","0","Snow Church","60","246","657.2800012171373"
"0029","2020-08-10 16:16:06 UTC","0","Sauer Center","178","410","603.1865383113254"
"0029","2020-08-10 16:16:06 UTC","0","Tobler Museum","415","367","257.11670501933554"
"0029","2020-08-10 16:16:06 UTC","0","Harvey House","589","292","352.5251764058845"
"0029","2020-08-10 16:16:06 UTC","0","Harris Hall","680","185","466.80402740336336"
"0029","2020-08-10 16:16:06 UTC","0","Lynch Station","525","29","521.7221482743473"
"0029","2020-08-10 16:16:06 UTC","0","Batty House","341","27","398.2725197650473"
"0030","2020-09-10 18:53:26 UTC","0","Lynch Station","67","58","85.9127464349732"
"0030","2020-09-10 18:53:26 UTC","0","Batty House","100","267","73.17103251970687"
"0030","2020-09-10 18:53:26 UTC","0","Harris Hall","207","343","117.27318534089538"
"0030","2020-09-10 18:53:26 UTC","0","Harvey House","362","127","364.40087815481456"
"0030","2020-09-10 18:53:26 UTC","0","Golledge Hall","448","195","150.57224179774968"
"0030","2020-09-10 18:53:26 UTC","0","Snow Church","387","391","377.9378255745249"
"0030","2020-09-10 18:53:26 UTC","0","Sauer Center","604","107","104.1393297462587"
"0030","2020-09-10 18:53:26 UTC","0","Tobler Museum","587","294","196.01020381602586"
"0031","2020-09-15 12:17:37 UTC","0","Golledge Hall","542","342","55.54277630799526"
"0031","2020-09-15 12:17:37 UTC","0","Snow Church","681","229","42.43819034784589"
"0031","2020-09-15 12:17:37 UTC","0","Sauer Center","537","90","122.34786471369249"
"0031","2020-09-15 12:17:37 UTC","0","Tobler Museum","368","172","134.6291201783626"
"0031","2020-09-15 12:17:37 UTC","0","Harvey House","4","330","328.8236609491476"
"0031","2020-09-15 12:17:37 UTC","0","Batty House","16","122","150.4027925272666"
"0031","2020-09-15 12:17:37 UTC","0","Lynch Station","135","16","163.68567438844488"
"0031","2020-09-15 12:17:37 UTC","0","Harris Hall","160","288","82.87943049997388"
"0032","2020-09-16 13:11:03 UTC","0","Batty House","536","515","564.0301410385796"
"0032","2020-09-16 13:11:03 UTC","0","Lynch Station","422","332","459.7434066955175"
"0032","2020-09-16 13:11:03 UTC","0","Harris Hall","670","186","456.75485766437123"
"0032","2020-09-16 13:11:03 UTC","0","Harvey House","500","68","465.1075144523038"
"0032","2020-09-16 13:11:03 UTC","0","Golledge Hall","163","44","470.9670901453731"
"0032","2020-09-16 13:11:03 UTC","0","Snow Church","32","220","684.1644539144079"
"0032","2020-09-16 13:11:03 UTC","0","Sauer Center","60","350","662.0045317065435"
"0032","2020-09-16 13:11:03 UTC","0","Tobler Museum","200","457","445.05505277437305"
"0034","2020-09-17 14:07:48 UTC","0","Golledge Hall","602","300","39.05124837953327"
"0034","2020-09-17 14:07:48 UTC","0","Snow Church","419","275","305.1376738457577"
"0034","2020-09-17 14:07:48 UTC","0","Sauer Center","215","302","506.269690975077"
"0034","2020-09-17 14:07:48 UTC","0","Harris Hall","567","156","358.8927416373867"
"0034","2020-09-17 14:07:48 UTC","0","Tobler Museum","294","438","373.43941945113403"
"0034","2020-09-17 14:07:48 UTC","0","Batty House","383","80","404.4749683231337"
"0034","2020-09-17 14:07:48 UTC","0","Lynch Station","300","120","288.0277764383151"
"0034","2020-09-17 14:07:48 UTC","0","Harvey House","502","73","461.5278973149944"
"0035","2020-09-17 16:03:54 UTC","0","Golledge Hall","650","233","103.73041983911952"
"0035","2020-09-17 16:03:54 UTC","0","Tobler Museum","350","229","178.60011198204776"
"0035","2020-09-17 16:03:54 UTC","0","Snow Church","611","142","122.4499897917513"
"0035","2020-09-17 16:03:54 UTC","0","Sauer Center","449","70","187.61929538296428"
