participant,date,condition,model number,building,x,y,error
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Golledge Hall,243,100,373.5264382
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Lynch Station,71,203,98.60020284
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Snow Church,112,329,616.5971132
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Batty House,548,290,521.3108478
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Sauer Center,52,468,736.680392
Rev PILOT_2,2020-08-24 02:20:27 UTC,,0,Tobler Museum,601,354,255.9062328
Rev_3,2020-09-17 01:25:27 UTC,,0,Lynch Station,19,268,144.1700385
Rev_3,2020-09-17 01:25:27 UTC,,0,Tobler Museum,420,92,78.92401409
Rev_3,2020-09-17 01:25:27 UTC,,0,Sauer Center,658,105,105.3043209
Rev_3,2020-09-17 01:25:27 UTC,,0,Snow Church,712,275,70.11419257
Rev_3,2020-09-17 01:25:27 UTC,,0,Golledge Hall,523,294,41.10960958
Rev_3,2020-09-17 01:25:27 UTC,,0,Harvey House,257,47,439.5600073
Rev_3,2020-09-17 01:25:27 UTC,,0,Batty House,70,478,210.4400152
Rev_3,2020-09-17 01:25:27 UTC,,0,Harris Hall,291,273,89.35882721
Rev_4,2020-09-17 03:40:35 UTC,,0,Golledge Hall,113,469,484.8556486
Rev_4,2020-09-17 03:40:35 UTC,,0,Tobler Museum,94,303,438.1346825
Rev_4,2020-09-17 03:40:35 UTC,,0,Sauer Center,297,256,413.01937
Rev_4,2020-09-17 03:40:35 UTC,,0,Snow Church,365,427,415.3131349
Rev_4,2020-09-17 03:40:35 UTC,,0,Harris Hall,299,71,176.2980431
Rev_4,2020-09-17 03:40:35 UTC,,0,Harvey House,94,77,454.3830983
Rev_4,2020-09-17 03:40:35 UTC,,0,Batty House,640,18,663.5397501
Rev_4,2020-09-17 03:40:35 UTC,,0,Lynch Station,518,118,506.0355719
Rev_5,2020-09-18 02:22:26 UTC,,0,Golledge Hall,534,258,44.59820624
Rev_5,2020-09-18 02:22:26 UTC,,0,Tobler Museum,498,102,20.61552813
Rev_5,2020-09-18 02:22:26 UTC,,0,Sauer Center,319,177,351.0270645
Rev_5,2020-09-18 02:22:26 UTC,,0,Snow Church,425,273,298.8394218
Rev_5,2020-09-18 02:22:26 UTC,,0,Harvey House,692,450,399.5359809
Rev_5,2020-09-18 02:22:26 UTC,,0,Lynch Station,107,12,146.8638826
Rev_5,2020-09-18 02:22:26 UTC,,0,Harris Hall,348,70,205
Rev_5,2020-09-18 02:22:26 UTC,,0,Batty House,14,22,250.3377718
Rev_6,2020-09-21 00:20:25 UTC,,0,Tobler Museum,,,
Rev_6,2020-09-21 00:20:25 UTC,,0,Sauer Center,636,324,319.1895988
Rev_6,2020-09-21 00:20:25 UTC,,0,Snow Church,402,438,391.0051151
Rev_6,2020-09-21 00:20:25 UTC,,0,Golledge Hall,362,249,206.3201396
Rev_6,2020-09-21 00:20:25 UTC,,0,Lynch Station,126,15,157.7244433
Rev_6,2020-09-21 00:20:25 UTC,,0,Harvey House,33,473,261.2757164
Rev_6,2020-09-21 00:20:25 UTC,,0,Harris Hall,132,249,86.127812
Rev_6,2020-09-21 00:20:25 UTC,,0,Batty House,338,77,367.0776485
Rev_7,2020-09-21 02:14:40 UTC,,0,Batty House,77,505,238.3044272
Rev_7,2020-09-21 02:14:40 UTC,,0,Lynch Station,6,370,246.0731599
Rev_7,2020-09-21 02:14:40 UTC,,0,Harris Hall,314,349,157.8923684
Rev_7,2020-09-21 02:14:40 UTC,,0,Harvey House,667,470,373.3014867
Rev_7,2020-09-21 02:14:40 UTC,,0,Golledge Hall,556,81,210.1523257
Rev_7,2020-09-21 02:14:40 UTC,,0,Snow Church,467,4,320.003125
Rev_7,2020-09-21 02:14:40 UTC,,0,Sauer Center,243,37,383.337971
Rev_7,2020-09-21 02:14:40 UTC,,0,Tobler Museum,279,146,215.3415891
Rev_8,2020-09-22 05:20:15 UTC,,0,Batty House,52,43,230.3605869
