"participant","date","total score","average score","q1 (should be reverse coded)","q2","q3 (should be reverse coded)","q4 (should be reverse coded)","q5 (should be reverse coded)","q6","q7 (should be reverse coded)","q8","q9 (should be reverse coded)","q10","q11","q12","q13","q14 (should be reverse coded)","q15"
"0126","2020-11-06 15:07:13 UTC","51","3.4","3","3","3","6","7","6","6","4","5","2","3","5","4","5","3"
"0127","2020-11-06 21:09:50 UTC","89","5.933333333333334","2","7","2","2","4","5","2","6","2","7","5","7","7","4","7"
"0128","2020-11-09 15:12:26 UTC","50","3.3333333333333335","4","6","2","6","6","2","6","3","6","1","4","6","6","6","2"
"0129","2020-11-09 17:02:08 UTC","92","6.133333333333334","2","2","1","1","3","7","5","7","2","7","7","7","7","1","7"
"0130","2020-11-11 16:07:09 UTC","66","4.4","2","6","4","4","6","3","3","6","4","5","6","7","3","6","3"
"0131","2020-11-12 15:08:54 UTC","49","3.2666666666666666","5","6","6","6","7","1","6","2","5","4","4","6","4","3","4"
"0132","2020-11-16 15:08:17 UTC","53","3.533333333333333","4","3","6","4","6","3","5","5","6","2","4","6","5","5","5"
"0133","2020-11-18 22:11:30 UTC","84","5.6","2","4","5","2","1","5","3","6","2","6","5","7","5","1","6"
"0134","2020-11-19 15:09:40 UTC","77","5.133333333333334","4","3","2","2","7","6","4","3","2","7","5","7","5","1","7"
"0135","2020-11-20 15:08:45 UTC","56","3.7333333333333334","3","6","5","7","6","5","5","6","5","2","2","6","2","5","7"
"0136","2020-11-20 21:22:16 UTC","102","6.8","1","7","1","1","4","7","1","7","1","7","7","7","7","1","7"
"0137","2020-11-24 15:13:50 UTC","77","5.133333333333334","2","6","1","2","3","6","4","6","4","6","4","5","3","4","5"
"0138","2020-11-24 15:35:54 UTC","78","5.2","2","6","2","2","4","6","4","6","4","6","4","6","4","2","4"
"0139","2020-11-24 16:09:07 UTC","72","4.8","4","6","4","3","6","4","6","6","6","7","5","7","6","2","6"
"0139","2020-11-24 16:14:51 UTC","72","4.8","4","6","4","3","6","4","6","6","6","7","5","7","6","2","6"
"0140","2020-11-24 16:44:04 UTC","51","3.4","5","4","6","4","7","4","3","4","4","2","5","7","1","7","4"
"0141","2020-12-02 15:05:01 UTC","72","4.8","2","1","2","1","5","4","5","3","5","6","7","7","3","2","7"
"0142","2020-12-02 19:11:24 UTC","84","5.6","2","3","3","2","1","5","2","6","2","5","6","6","5","2","6"
"0143","2020-12-03 15:13:28 UTC","48","3.2","5","5","4","5","6","2","3","3","5","4","3","2","2","5","4"
"0144","2020-12-04 20:46:31 UTC","53","3.533333333333333","3","2","7","4","7","1","2","6","6","6","1","7","1","3","5"
"0145","2020-12-09 15:17:28 UTC","53","3.533333333333333","4","5","4","4","7","5","5","4","5","2","3","5","2","4","4"
"0146","2020-12-10 18:12:19 UTC","63","4.2","3","2","3","4","7","4","4","7","3","3","4","4","7","4","4"
