participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Harris Hall,42,4.196894849,37.80310515,same
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Sauer Center,38,46.29205396,8.292053963,different
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Golledge Hall,137,64.9530254,72.0469746,different
1003,10/7/2015 12:10,0,Harvey House,Harris Hall,Lynch Station,84,32.28246429,51.71753571,same
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Tobler Museum,2,147.0284471,145.0284471,same
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Snow Church,27,1.204134401,25.7958656,same
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Harris Hall,23,176.2022806,153.2022806,different
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Batty House,93,173.5694617,80.56946175,different
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Sauer Center,65,76.21088344,11.21088344,same
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Harvey House,132,139.9309368,7.930936783,different
1003,10/7/2015 12:10,0,Golledge Hall,Snow Church,Lynch Station,166,173.9683139,7.968313914,different
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Harvey House,58,119.6929579,61.69295786,different
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Lynch Station,169,79.44851915,89.55148085,different
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Golledge Hall,8,125.8431145,117.8431145,same
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Sauer Center,50,0.279262352,49.72073765,same
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Tobler Museum,174,63.69277617,110.3072238,same
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Harris Hall,118,88.09346154,29.90653846,different
1003,10/7/2015 12:10,0,Snow Church,Sauer Center,Batty House,88,90.64700942,2.647009417,different
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Harris Hall,70,4.240040564,65.75995944,different
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Lynch Station,84,17.76205492,66.23794508,different
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Snow Church,13,89.63525726,76.63525726,same
